evidence_id,source_artifact,source_row_key,evidence_tier,evidence_scope,narrative_acts,publication_readiness,recommended_use,summary,contract_version,analysis_id,stratum,semester,priority,x,y,coefficient,p_value,verdict,robustness_class,overlap_n,jaccard
contrast__scope_applicability_mean_t3__source_churn_t3__top_bottom_4,best_worst_project_contrasts,scope_applicability_mean_t3__source_churn_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,scope_applicability_mean_t3__source_churn_t3__top_bottom_4,top_bottom,,,scope_applicability_mean_t3,source_churn_t3,,0.2,inconclusive,,,
contrast__scope_applicability_mean_t3__source_events_t3__top_bottom_4,best_worst_project_contrasts,scope_applicability_mean_t3__source_events_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,scope_applicability_mean_t3__source_events_t3__top_bottom_4,top_bottom,,,scope_applicability_mean_t3,source_events_t3,,0.1142857142857142,inconclusive,,,
contrast__scope_applicability_mean_t3__commits_per_author_t3__top_bottom_4,best_worst_project_contrasts,scope_applicability_mean_t3__commits_per_author_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,scope_applicability_mean_t3__commits_per_author_t3__top_bottom_4,top_bottom,,,scope_applicability_mean_t3,commits_per_author_t3,,0.0285714285714285,supports,,,
contrast__scope_applicability_mean_t3__late_instability_index__top_bottom_4,best_worst_project_contrasts,scope_applicability_mean_t3__late_instability_index__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,scope_applicability_mean_t3__late_instability_index__top_bottom_4,top_bottom,,,scope_applicability_mean_t3,late_instability_index,,0.0571428571428571,inconclusive,,,
contrast__scope_applicability_mean_t3__scope_applicability_mean_t3__top_bottom_4,best_worst_project_contrasts,scope_applicability_mean_t3__scope_applicability_mean_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,scope_applicability_mean_t3__scope_applicability_mean_t3__top_bottom_4,top_bottom,,,scope_applicability_mean_t3,scope_applicability_mean_t3,,0.0202080042393892,supports,,,
contrast__project_progress_mean_t3__planning_rework_signal_t2_t3__top_bottom_4,best_worst_project_contrasts,project_progress_mean_t3__planning_rework_signal_t2_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,project_progress_mean_t3__planning_rework_signal_t2_t3__top_bottom_4,top_bottom,,,project_progress_mean_t3,planning_rework_signal_t2_t3,,0.8857142857142857,inconclusive,,,
contrast__project_progress_mean_t3__planning_artifact_activity_t3__top_bottom_4,best_worst_project_contrasts,project_progress_mean_t3__planning_artifact_activity_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,project_progress_mean_t3__planning_artifact_activity_t3__top_bottom_4,top_bottom,,,project_progress_mean_t3,planning_artifact_activity_t3,,0.6857142857142857,inconclusive,,,
contrast__project_progress_mean_t3__pi_line_delta_t3__top_bottom_4,best_worst_project_contrasts,project_progress_mean_t3__pi_line_delta_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,project_progress_mean_t3__pi_line_delta_t3__top_bottom_4,top_bottom,,,project_progress_mean_t3,pi_line_delta_t3,,0.1142857142857142,inconclusive,,,
contrast__project_progress_mean_t3__source_churn_t3__top_bottom_4,best_worst_project_contrasts,project_progress_mean_t3__source_churn_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,project_progress_mean_t3__source_churn_t3__top_bottom_4,top_bottom,,,project_progress_mean_t3,source_churn_t3,,0.3428571428571428,inconclusive,,,
contrast__project_progress_mean_t3__source_events_t3__top_bottom_4,best_worst_project_contrasts,project_progress_mean_t3__source_events_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,project_progress_mean_t3__source_events_t3__top_bottom_4,top_bottom,,,project_progress_mean_t3,source_events_t3,,0.2,inconclusive,,,
contrast__project_progress_mean_t3__commits_per_author_t3__top_bottom_4,best_worst_project_contrasts,project_progress_mean_t3__commits_per_author_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,project_progress_mean_t3__commits_per_author_t3__top_bottom_4,top_bottom,,,project_progress_mean_t3,commits_per_author_t3,,0.0571428571428571,inconclusive,,,
contrast__project_progress_mean_t3__late_instability_index__top_bottom_4,best_worst_project_contrasts,project_progress_mean_t3__late_instability_index__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,project_progress_mean_t3__late_instability_index__top_bottom_4,top_bottom,,,project_progress_mean_t3,late_instability_index,,0.2,inconclusive,,,
contrast__project_progress_mean_t3__scope_applicability_mean_t3__top_bottom_4,best_worst_project_contrasts,project_progress_mean_t3__scope_applicability_mean_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,project_progress_mean_t3__scope_applicability_mean_t3__top_bottom_4,top_bottom,,,project_progress_mean_t3,scope_applicability_mean_t3,,0.0202080042393892,supports,,,
contrast__late_instability_index__planning_rework_signal_t2_t3__top_bottom_4,best_worst_project_contrasts,late_instability_index__planning_rework_signal_t2_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,late_instability_index__planning_rework_signal_t2_t3__top_bottom_4,top_bottom,,,late_instability_index,planning_rework_signal_t2_t3,,0.0285714285714285,supports,,,
contrast__late_instability_index__planning_artifact_activity_t3__top_bottom_4,best_worst_project_contrasts,late_instability_index__planning_artifact_activity_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,late_instability_index__planning_artifact_activity_t3__top_bottom_4,top_bottom,,,late_instability_index,planning_artifact_activity_t3,,0.0285714285714285,supports,,,
contrast__late_instability_index__pi_line_delta_t3__top_bottom_4,best_worst_project_contrasts,late_instability_index__pi_line_delta_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,late_instability_index__pi_line_delta_t3__top_bottom_4,top_bottom,,,late_instability_index,pi_line_delta_t3,,0.0285714285714285,supports,,,
contrast__late_instability_index__source_churn_t3__top_bottom_4,best_worst_project_contrasts,late_instability_index__source_churn_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,late_instability_index__source_churn_t3__top_bottom_4,top_bottom,,,late_instability_index,source_churn_t3,,0.0285714285714285,supports,,,
contrast__late_instability_index__source_events_t3__top_bottom_4,best_worst_project_contrasts,late_instability_index__source_events_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,late_instability_index__source_events_t3__top_bottom_4,top_bottom,,,late_instability_index,source_events_t3,,0.0285714285714285,supports,,,
contrast__late_instability_index__commits_per_author_t3__top_bottom_4,best_worst_project_contrasts,late_instability_index__commits_per_author_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,late_instability_index__commits_per_author_t3__top_bottom_4,top_bottom,,,late_instability_index,commits_per_author_t3,,0.0294010481903396,supports,,,
contrast__late_instability_index__late_instability_index__top_bottom_4,best_worst_project_contrasts,late_instability_index__late_instability_index__top_bottom_4,B,top_bottom_exploratory_contrast,[3],candidate_secondary,support_narrative_claim,Best/worst contrast provides exploratory group-level support.,cross-evidence-priority-matrix-v1,late_instability_index__late_instability_index__top_bottom_4,top_bottom,,,late_instability_index,late_instability_index,,0.0285714285714285,supports,,,
contrast__late_instability_index__scope_applicability_mean_t3__top_bottom_4,best_worst_project_contrasts,late_instability_index__scope_applicability_mean_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,late_instability_index__scope_applicability_mean_t3__top_bottom_4,top_bottom,,,late_instability_index,scope_applicability_mean_t3,,0.0667530151696345,inconclusive,,,
leave_one_out__scope_vs_source_churn_t3,leave_one_out_sensitivity,scope_vs_source_churn_t3,C,robustness_diagnostic,"[2, 3]",exploratory_only,report_methodological_limitation,Leave-one-out analysis indicates fragile or unsupported evidence.,cross-evidence-priority-matrix-v1,scope_vs_source_churn_t3,leave_one_out,,,,,-0.3805611639383081,0.1794831502826139,inconclusive,fragile,,
leave_one_out__scope_vs_source_events_t3,leave_one_out_sensitivity,scope_vs_source_events_t3,C,robustness_diagnostic,"[2, 3]",exploratory_only,report_methodological_limitation,Leave-one-out analysis indicates fragile or unsupported evidence.,cross-evidence-priority-matrix-v1,scope_vs_source_events_t3,leave_one_out,,,,,-0.4748447045164489,0.0862066101479181,inconclusive,fragile,,
leave_one_out__scope_vs_pi_line_delta_t3,leave_one_out_sensitivity,scope_vs_pi_line_delta_t3,A,robustness_diagnostic,"[2, 3]",candidate_secondary,guide_refactoring,Leave-one-out analysis confirms stability.,cross-evidence-priority-matrix-v1,scope_vs_pi_line_delta_t3,leave_one_out,,,,,-0.6736169064070554,0.0082626259376288,supports,robust_all,,
leave_one_out__scope_vs_planning_artifact_activity_t3,leave_one_out_sensitivity,scope_vs_planning_artifact_activity_t3,A,robustness_diagnostic,"[2, 3]",candidate_secondary,guide_refactoring,Leave-one-out analysis confirms stability.,cross-evidence-priority-matrix-v1,scope_vs_planning_artifact_activity_t3,leave_one_out,,,,,-0.5831555764121896,0.0286037847926583,supports,robust_most,,
leave_one_out__scope_vs_planning_rework_t2_t3,leave_one_out_sensitivity,scope_vs_planning_rework_t2_t3,C,robustness_diagnostic,"[2, 3]",exploratory_only,report_methodological_limitation,Leave-one-out analysis indicates fragile or unsupported evidence.,cross-evidence-priority-matrix-v1,scope_vs_planning_rework_t2_t3,leave_one_out,,,,,-0.5207396621025063,0.056231526062027,inconclusive,fragile,,
leave_one_out__scope_vs_commits_per_author_t3,leave_one_out_sensitivity,scope_vs_commits_per_author_t3,A,robustness_diagnostic,"[2, 3]",candidate_secondary,guide_refactoring,Leave-one-out analysis confirms stability.,cross-evidence-priority-matrix-v1,scope_vs_commits_per_author_t3,leave_one_out,,,,,-0.7284815485795703,0.0031279384351483,supports,robust_all,,
leave_one_out__scope_vs_late_instability_index,leave_one_out_sensitivity,scope_vs_late_instability_index,A,robustness_diagnostic,"[2, 3]",candidate_secondary,guide_refactoring,Leave-one-out analysis confirms stability.,cross-evidence-priority-matrix-v1,scope_vs_late_instability_index,leave_one_out,,,,,-0.6232378481888233,0.0172566601453534,supports,robust_most,,
overlap__planning_rework_signal_t2_t3__top__source_churn_t3__top,extreme_case_overlap,planning_rework_signal_t2_t3__top__source_churn_t3__top,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,planning_rework_signal_t2_t3__top__source_churn_t3__top,top_top,,,planning_rework_signal_t2_t3,source_churn_t3,,,inconclusive,,1,0.1428571428571428
overlap__planning_rework_signal_t2_t3__top__source_churn_t3__bottom,extreme_case_overlap,planning_rework_signal_t2_t3__top__source_churn_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,planning_rework_signal_t2_t3__top__source_churn_t3__bottom,top_bottom,,,planning_rework_signal_t2_t3,source_churn_t3,,,inconclusive,,1,0.1428571428571428
overlap__planning_rework_signal_t2_t3__bottom__source_churn_t3__bottom,extreme_case_overlap,planning_rework_signal_t2_t3__bottom__source_churn_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,planning_rework_signal_t2_t3__bottom__source_churn_t3__bottom,bottom_bottom,,,planning_rework_signal_t2_t3,source_churn_t3,,,inconclusive,,1,0.1428571428571428
overlap__planning_rework_signal_t2_t3__top__commits_per_author_t3__top,extreme_case_overlap,planning_rework_signal_t2_t3__top__commits_per_author_t3__top,B,ranked_extreme_case_overlap,"[2, 3]",candidate_secondary,describe_tail_convergence,Extreme-case overlap supports convergence of tails.,cross-evidence-priority-matrix-v1,planning_rework_signal_t2_t3__top__commits_per_author_t3__top,top_top,,,planning_rework_signal_t2_t3,commits_per_author_t3,,,supports,,3,0.6
overlap__planning_rework_signal_t2_t3__top__commits_per_author_t3__bottom,extreme_case_overlap,planning_rework_signal_t2_t3__top__commits_per_author_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,planning_rework_signal_t2_t3__top__commits_per_author_t3__bottom,top_bottom,,,planning_rework_signal_t2_t3,commits_per_author_t3,,,inconclusive,,0,0.0
overlap__planning_rework_signal_t2_t3__bottom__commits_per_author_t3__bottom,extreme_case_overlap,planning_rework_signal_t2_t3__bottom__commits_per_author_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",candidate_secondary,describe_tail_convergence,Extreme-case overlap supports convergence of tails.,cross-evidence-priority-matrix-v1,planning_rework_signal_t2_t3__bottom__commits_per_author_t3__bottom,bottom_bottom,,,planning_rework_signal_t2_t3,commits_per_author_t3,,,supports,,2,0.3333333333333333
overlap__planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__top,extreme_case_overlap,planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__top,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__top,top_top,,,planning_rework_signal_t2_t3,scope_applicability_mean_t3,,,inconclusive,,0,0.0
overlap__planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__bottom,extreme_case_overlap,planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",candidate_secondary,describe_tail_convergence,Extreme-case overlap supports convergence of tails.,cross-evidence-priority-matrix-v1,planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__bottom,top_bottom,,,planning_rework_signal_t2_t3,scope_applicability_mean_t3,,,supports,,2,0.3333333333333333
overlap__planning_rework_signal_t2_t3__bottom__scope_applicability_mean_t3__bottom,extreme_case_overlap,planning_rework_signal_t2_t3__bottom__scope_applicability_mean_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,planning_rework_signal_t2_t3__bottom__scope_applicability_mean_t3__bottom,bottom_bottom,,,planning_rework_signal_t2_t3,scope_applicability_mean_t3,,,inconclusive,,0,0.0
overlap__source_churn_t3__top__commits_per_author_t3__top,extreme_case_overlap,source_churn_t3__top__commits_per_author_t3__top,B,ranked_extreme_case_overlap,"[2, 3]",candidate_secondary,describe_tail_convergence,Extreme-case overlap supports convergence of tails.,cross-evidence-priority-matrix-v1,source_churn_t3__top__commits_per_author_t3__top,top_top,,,source_churn_t3,commits_per_author_t3,,,supports,,2,0.3333333333333333
overlap__source_churn_t3__top__commits_per_author_t3__bottom,extreme_case_overlap,source_churn_t3__top__commits_per_author_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,source_churn_t3__top__commits_per_author_t3__bottom,top_bottom,,,source_churn_t3,commits_per_author_t3,,,inconclusive,,0,0.0
overlap__source_churn_t3__bottom__commits_per_author_t3__bottom,extreme_case_overlap,source_churn_t3__bottom__commits_per_author_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",candidate_secondary,describe_tail_convergence,Extreme-case overlap supports convergence of tails.,cross-evidence-priority-matrix-v1,source_churn_t3__bottom__commits_per_author_t3__bottom,bottom_bottom,,,source_churn_t3,commits_per_author_t3,,,supports,,2,0.3333333333333333
overlap__source_churn_t3__top__scope_applicability_mean_t3__top,extreme_case_overlap,source_churn_t3__top__scope_applicability_mean_t3__top,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,source_churn_t3__top__scope_applicability_mean_t3__top,top_top,,,source_churn_t3,scope_applicability_mean_t3,,,inconclusive,,1,0.1428571428571428
overlap__source_churn_t3__top__scope_applicability_mean_t3__bottom,extreme_case_overlap,source_churn_t3__top__scope_applicability_mean_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",candidate_secondary,describe_tail_convergence,Extreme-case overlap supports convergence of tails.,cross-evidence-priority-matrix-v1,source_churn_t3__top__scope_applicability_mean_t3__bottom,top_bottom,,,source_churn_t3,scope_applicability_mean_t3,,,supports,,3,0.6
overlap__source_churn_t3__bottom__scope_applicability_mean_t3__bottom,extreme_case_overlap,source_churn_t3__bottom__scope_applicability_mean_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,source_churn_t3__bottom__scope_applicability_mean_t3__bottom,bottom_bottom,,,source_churn_t3,scope_applicability_mean_t3,,,inconclusive,,1,0.1428571428571428
overlap__commits_per_author_t3__top__scope_applicability_mean_t3__top,extreme_case_overlap,commits_per_author_t3__top__scope_applicability_mean_t3__top,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,commits_per_author_t3__top__scope_applicability_mean_t3__top,top_top,,,commits_per_author_t3,scope_applicability_mean_t3,,,inconclusive,,0,0.0
overlap__commits_per_author_t3__top__scope_applicability_mean_t3__bottom,extreme_case_overlap,commits_per_author_t3__top__scope_applicability_mean_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",candidate_secondary,describe_tail_convergence,Extreme-case overlap supports convergence of tails.,cross-evidence-priority-matrix-v1,commits_per_author_t3__top__scope_applicability_mean_t3__bottom,top_bottom,,,commits_per_author_t3,scope_applicability_mean_t3,,,supports,,3,0.6
overlap__commits_per_author_t3__bottom__scope_applicability_mean_t3__bottom,extreme_case_overlap,commits_per_author_t3__bottom__scope_applicability_mean_t3__bottom,B,ranked_extreme_case_overlap,"[2, 3]",exploratory_only,do_not_generalize,Extreme-case overlap is weak and should remain descriptive.,cross-evidence-priority-matrix-v1,commits_per_author_t3__bottom__scope_applicability_mean_t3__bottom,bottom_bottom,,,commits_per_author_t3,scope_applicability_mean_t3,,,inconclusive,,0,0.0
semester__scope_vs_source_churn_t3__global__global,semester_stratified_results,scope_vs_source_churn_t3__global__nan,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,do_not_generalize,Global/semester comparison provides contextual evidence.,cross-evidence-priority-matrix-v1,scope_vs_source_churn_t3,global,,primary_candidate,source_churn_t3,scope_applicability_mean_t3,-0.3805611639383081,0.1794831502826139,inconclusive,direction_consistent_inconclusive,,
semester__scope_vs_source_churn_t3__semester__2025.2,semester_stratified_results,scope_vs_source_churn_t3__semester__2025.2,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_source_churn_t3,semester,2025.2,primary_candidate,source_churn_t3,scope_applicability_mean_t3,-0.2376354103144018,0.5380996131614764,inconclusive,direction_consistent_inconclusive,,
semester__scope_vs_source_churn_t3__semester__2026.1,semester_stratified_results,scope_vs_source_churn_t3__semester__2026.1,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_source_churn_t3,semester,2026.1,primary_candidate,source_churn_t3,scope_applicability_mean_t3,-0.7071067811865475,0.1816901138162092,inconclusive,direction_consistent_inconclusive,,
semester__scope_vs_source_events_t3__global__global,semester_stratified_results,scope_vs_source_events_t3__global__nan,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,do_not_generalize,Global/semester comparison provides contextual evidence.,cross-evidence-priority-matrix-v1,scope_vs_source_events_t3,global,,primary_candidate,source_events_t3,scope_applicability_mean_t3,-0.4748447045164489,0.0862066101479181,inconclusive,direction_consistent_inconclusive,,
semester__scope_vs_source_events_t3__semester__2025.2,semester_stratified_results,scope_vs_source_events_t3__semester__2025.2,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_source_events_t3,semester,2025.2,primary_candidate,source_events_t3,scope_applicability_mean_t3,-0.4554678697692702,0.2179382855390245,inconclusive,direction_consistent_inconclusive,,
semester__scope_vs_source_events_t3__semester__2026.1,semester_stratified_results,scope_vs_source_events_t3__semester__2026.1,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_source_events_t3,semester,2026.1,primary_candidate,source_events_t3,scope_applicability_mean_t3,-0.7071067811865475,0.1816901138162092,inconclusive,direction_consistent_inconclusive,,
semester__scope_vs_pi_line_delta_t3__global__global,semester_stratified_results,scope_vs_pi_line_delta_t3__global__nan,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,support_narrative_claim,Global/semester comparison provides contextual evidence.,cross-evidence-priority-matrix-v1,scope_vs_pi_line_delta_t3,global,,primary_candidate,pi_line_delta_t3,scope_applicability_mean_t3,-0.6736169064070554,0.0082626259376288,supports,global_supported_semester_inconclusive,,
